Data pulled on 10/29/2014 at 20:34:47
username, number of edits, percent of total edits
Scray,3,0.000384763370527
194.209.10.69,3,0.000384763370527
68.227.22.38,3,0.000384763370527
Geoffspear,3,0.000384763370527
RoyGoldsmith,3,0.000384763370527
208.127.217.46,3,0.000384763370527
158.59.199.150,3,0.000384763370527
76.99.59.186,3,0.000384763370527
74.250.8.50,3,0.000384763370527
Andreiwest,3,0.000384763370527
190.34.149.117,3,0.000384763370527
Kevinlipe,3,0.000384763370527
68.191.159.179,3,0.000384763370527
Megamike345,3,0.000384763370527
70.151.119.66,3,0.000384763370527
165.138.19.8,3,0.000384763370527
Materialscientist,3,0.000384763370527
64.83.216.71,3,0.000384763370527
198.60.170.135,3,0.000384763370527
Sderose,3,0.000384763370527
Npho,3,0.000384763370527
108.7.174.8,3,0.000384763370527
66.99.16.29,3,0.000384763370527
Gilliam,3,0.000384763370527
24.36.172.29,3,0.000384763370527
67.127.253.67,3,0.000384763370527
Sunbeam60,3,0.000384763370527
NYKevin,3,0.000384763370527
Yameogo,3,0.000384763370527
206.74.73.192,3,0.000384763370527
70.152.143.38,3,0.000384763370527
204.81.203.162,3,0.000384763370527
70.41.205.234,3,0.000384763370527
65.183.69.208,3,0.000384763370527
97.103.73.151,3,0.000384763370527
Addshore,3,0.000384763370527
70.242.131.201,3,0.000384763370527
Jim1138,3,0.000384763370527
68.6.101.73,3,0.000384763370527
Helwr,3,0.000384763370527
LeeHunter,3,0.000384763370527
Oda Mari,3,0.000384763370527
207.230.222.114,3,0.000384763370527
157.246.162.109,3,0.000384763370527
Everyking,3,0.000384763370527
FrankTobia,3,0.000384763370527
Canthusus,3,0.000384763370527
71.13.22.50,3,0.000384763370527
Katalaveno,3,0.000384763370527
70.108.206.152,3,0.000384763370527
GeoGreg,3,0.000384763370527
68.100.210.180,3,0.000384763370527
24.179.110.230,3,0.000384763370527
69.89.108.5,3,0.000384763370527
Porterhse,3,0.000384763370527
Insorak,3,0.000384763370527
86.47.47.155,3,0.000384763370527
67.9.143.53,3,0.000384763370527
Beforemath,3,0.000384763370527
24.190.131.66,3,0.000384763370527
Ezeu,3,0.000384763370527
86.8.110.50,3,0.000384763370527
158.59.199.9,3,0.000384763370527
ToucanJoe,3,0.000384763370527
159.191.242.218,3,0.000384763370527
69.170.237.164,3,0.000384763370527
Varlaam,3,0.000384763370527
83.31.187.213,3,0.000384763370527
Xxanthippe,3,0.000384763370527
124.187.58.25,3,0.000384763370527
64.251.50.68,3,0.000384763370527
205.124.86.148,3,0.000384763370527
88.195.45.233,3,0.000384763370527
Riki,3,0.000384763370527
AlphaEta,3,0.000384763370527
72.95.55.101,3,0.000384763370527
GuyHimGuy,3,0.000384763370527
137.189.4.1,3,0.000384763370527
Marco369,3,0.000384763370527
72.189.187.83,3,0.000384763370527
75.74.18.195,3,0.000384763370527
58.169.200.76,3,0.000384763370527
Royboycrashfan,3,0.000384763370527
The High Fin Sperm Whale,3,0.000384763370527
CatPath,3,0.000384763370527
168.216.85.59,3,0.000384763370527
70.94.46.49,3,0.000384763370527
Dlpflipper,3,0.000384763370527
Zurppies,3,0.000384763370527
RDBrown,3,0.000384763370527
The Thing That Should Not Be,3,0.000384763370527
Anthonyhcole,3,0.000384763370527
FrescoBot,3,0.000384763370527
Azhyd,3,0.000384763370527
71.244.38.148,3,0.000384763370527
Catskul,3,0.000384763370527
86.13.232.195,3,0.000384763370527
64.201.88.5,3,0.000384763370527
Hdt83,3,0.000384763370527
McSly,3,0.000384763370527
216.81.104.26,3,0.000384763370527
Nunocordeiro,3,0.000384763370527
212.250.23.69,3,0.000384763370527
75.60.38.3,3,0.000384763370527
69.2.142.6,3,0.000384763370527
Giftlite,3,0.000384763370527
212.179.71.70,3,0.000384763370527
74.104.230.215,3,0.000384763370527
Nnemo,3,0.000384763370527
IronGargoyle,3,0.000384763370527
Can't sleep, clown will eat me,3,0.000384763370527
Barrett at central college,3,0.000384763370527
72.93.244.66,3,0.000384763370527
Sokolesq,2,0.000256508913685
81.146.31.77,2,0.000256508913685
Ghidorah221,2,0.000256508913685
Lightbot,2,0.000256508913685
Nsaa,2,0.000256508913685
Robbot,2,0.000256508913685
Jpboia,2,0.000256508913685
JNW,2,0.000256508913685
66.27.106.115,2,0.000256508913685
Mishka.medvezhonok,2,0.000256508913685
130.74.92.208,2,0.000256508913685
Catgut,2,0.000256508913685
199.98.17.74,2,0.000256508913685
MER-C,2,0.000256508913685
Kintetsubuffalo,2,0.000256508913685
81.145.241.161,2,0.000256508913685
Williamsu95,2,0.000256508913685
204.209.59.11,2,0.000256508913685
94.192.120.97,2,0.000256508913685
AdamWeeden,2,0.000256508913685
68.193.172.61,2,0.000256508913685
Mentisock,2,0.000256508913685
68.192.180.223,2,0.000256508913685
24.141.165.81,2,0.000256508913685
Petr Matas,2,0.000256508913685
Amw2017,2,0.000256508913685
216.124.227.73,2,0.000256508913685
207.157.190.19,2,0.000256508913685
OscarK878,2,0.000256508913685
24.141.121.208,2,0.000256508913685
The Anome,2,0.000256508913685
63.162.200.132,2,0.000256508913685
4.38.35.1,2,0.000256508913685
72.189.225.219,2,0.000256508913685
84.199.112.3,2,0.000256508913685
Bletch,2,0.000256508913685
Soumyasch,2,0.000256508913685
124.176.170.133,2,0.000256508913685
208.108.145.3,2,0.000256508913685
70.48.11.187,2,0.000256508913685
68.104.168.168,2,0.000256508913685
68.215.175.58,2,0.000256508913685
LostAccount,2,0.000256508913685
202.182.34.174,2,0.000256508913685
John5008,2,0.000256508913685
61.69.148.160,2,0.000256508913685
Lilac Soul,2,0.000256508913685
66.30.96.215,2,0.000256508913685
72.49.18.191,2,0.000256508913685
Geogene,2,0.000256508913685
208.98.144.98,2,0.000256508913685
Allstarecho,2,0.000256508913685
209.242.61.99,2,0.000256508913685
68.82.47.3,2,0.000256508913685
24.168.200.206,2,0.000256508913685
74.182.93.235,2,0.000256508913685
Neurophyre,2,0.000256508913685
74.142.40.89,2,0.000256508913685
Khazar2,2,0.000256508913685
173.87.177.96,2,0.000256508913685
68.195.108.213,2,0.000256508913685
71.169.144.23,2,0.000256508913685
209.189.130.85,2,0.000256508913685
71.136.38.220,2,0.000256508913685
Lihaas,2,0.000256508913685
68.230.150.36,2,0.000256508913685
204.249.208.26,2,0.000256508913685
JFreeman,2,0.000256508913685
83.92.146.186,2,0.000256508913685
Newone,2,0.000256508913685
208.67.142.193,2,0.000256508913685
Nbauman,2,0.000256508913685
77.46.254.47,2,0.000256508913685
Wavelength,2,0.000256508913685
24.190.136.9,2,0.000256508913685
67.165.225.216,2,0.000256508913685
Doulos Christos,2,0.000256508913685
Dmickan,2,0.000256508913685
67.184.212.160,2,0.000256508913685
169.244.39.30,2,0.000256508913685
NawlinWiki,2,0.000256508913685
64.13.13.215,2,0.000256508913685
RussBot,2,0.000256508913685
65.190.242.217,2,0.000256508913685
Stoneystig,2,0.000256508913685
70.88.250.105,2,0.000256508913685
213.201.137.74,2,0.000256508913685
